ProbeId	ProbeName	GeneSymbol	ENTREZID
1049459	A_23_P252721	DLC1	10395
1057422	A_23_P113789	USP19	10869
1022789	CUST_8073_PI416261804	USP19	10869
1014390	CUST_419_PI416379584	OR5H2	79310
1013913	CUST_410_PI416573500	OR5H2	79310
1051149	A_23_P206661	NQO1	1728
1018266	CUST_16377_PI416261804	NQO1	1728
1050326	A_23_P215577	HDAC9	9734
1025547	A_32_P841049	HDAC9	9734
1011083	CUST_632_PI416379584	TMEM63C	57156
1011214	CUST_616_PI416573500	TMEM63C	57156
1012401	CUST_5379_PI416261804	KIAA0753	9851
1030457	A_24_P922139	CREM	1390
1050066	A_23_P215976	CCNE2	9134
1022652	CUST_11659_PI416261804	CCNE2	9134
1017615	CUST_17030_PI416261804	KLRD1	3824
1024399	CUST_1102_PI416573500	SPATA45	149643
1023421	CUST_1139_PI416379584	SPATA45	149643
1033315	A_24_P411899	RNF19A	25897
1050294	A_23_P215897	RNF19A	25897
1055811	A_23_P12950	KBTBD4	55709
1021039	CUST_1333_PI416379584	ZSCAN2	54993
1026116	A_32_P67533	L3MBTL3	84456
1048573	A_23_P311885	L3MBTL3	84456
1034868	A_24_P32252	KIAA0930	23313
1047849	A_23_P315589	KIAA0930	23313
1029796	A_24_P944751	KIAA0930	23313
1026038	A_32_P88479	KIAA0930	23313
1051888	A_23_P19455	MDC1	9656
1021259	CUST_13084_PI416261804	MDC1	9656
1041383	A_23_P73220	FGD6	55785
1038037	A_24_P179407	FGD6	55785
1029634	A_32_P104478	FGD6	55785
1018015	CUST_1619_PI417557136	HTR2A	3356
1018024	CUST_1618_PI417557136	HTR2A	3356
1034514	A_24_P355967	HTR2A	3356
1018036	CUST_1617_PI417557136	HTR2A	3356
